Record,Correct,Wrong,Percent,week
7-8,7,8,0.4666666666666667,1
8-7,8,7,0.5333333333333333,1
10-5,10,5,0.6666666666666666,1
7-8,7,8,0.4666666666666667,1
9-6,9,6,0.6,1
8-7,8,7,0.5333333333333333,1
7-8,7,8,0.4666666666666667,1
9-6,9,6,0.6,1
6-9,6,9,0.4,1
15-16,15,16,0.4838709677419355,2
17-14,17,14,0.5483870967741935,2
20-11,20,11,0.6451612903225806,2
16-15,16,15,0.5161290322580645,2
21-10,21,10,0.6774193548387096,2
17-14,17,14,0.5483870967741935,2
17-14,17,14,0.5483870967741935,2
15-15,15,15,0.5,2
14-17,14,17,0.45161290322580644,2
23-24,23,24,0.48936170212765956,3
25-22,25,22,0.5319148936170213,3
29-18,29,18,0.6170212765957447,3
25-22,25,22,0.5319148936170213,3
28-19,28,19,0.5957446808510638,3
27-20,27,20,0.574468085106383,3
25-22,25,22,0.5319148936170213,3
23-23,23,23,0.5,3
21-26,21,26,0.44680851063829785,3
32-31,32,31,0.5079365079365079,4
37-26,37,26,0.5873015873015873,4
39-24,39,24,0.6190476190476191,4
36-27,36,27,0.5714285714285714,4
37-26,37,26,0.5873015873015873,4
36-27,36,27,0.5714285714285714,4
34-29,34,29,0.5396825396825397,4
23-23,23,23,0.5,4
31-32,31,32,0.49206349206349204,4
43-36,43,36,0.5443037974683544,5
47-32,47,32,0.5949367088607594,5
48-31,48,31,0.6075949367088608,5
46-33,46,33,0.5822784810126582,5
48-31,48,31,0.6075949367088608,5
45-34,45,34,0.569620253164557,5
45-34,45,34,0.569620253164557,5
23-23,23,23,0.5,5
42-37,42,37,0.5316455696202531,5
43-37,43,37,0.5375,6
54-39,54,39,0.5806451612903226,6
53-40,53,40,0.5698924731182796,6
54-39,54,39,0.5806451612903226,6
53-40,53,40,0.5698924731182796,6
52-41,52,41,0.5591397849462365,6
53-40,53,40,0.5698924731182796,6
23-23,23,23,0.5,6
51-42,51,42,0.5483870967741935,6
50-44,50,44,0.5319148936170213,7
65-42,65,42,0.6074766355140186,7
59-48,59,48,0.5514018691588785,7
63-44,63,44,0.5887850467289719,7
61-46,61,46,0.5700934579439252,7
61-46,61,46,0.5700934579439252,7
62-45,62,45,0.5794392523364486,7
23-23,23,23,0.5,7
58-49,58,49,0.5420560747663551,7
50-44,50,44,0.5319148936170213,8
76-46,76,46,0.6229508196721312,8
68-54,68,54,0.5573770491803278,8
74-48,74,48,0.6065573770491803,8
61-46,61,46,0.5700934579439252,8
71-51,71,51,0.5819672131147541,8
70-52,70,52,0.5737704918032787,8
33-27,33,27,0.55,8
70-52,70,52,0.5737704918032787,8
50-44,50,44,0.5319148936170213,9
86-49,86,49,0.6370370370370371,9
76-59,76,59,0.562962962962963,9
82-53,82,53,0.6074074074074074,9
70-50,70,50,0.5833333333333334,9
82-53,82,53,0.6074074074074074,9
80-55,80,55,0.5925925925925926,9
43-30,43,30,0.589041095890411,9
78-57,78,57,0.5777777777777777,9
57-51,57,51,0.5277777777777778,10
91-58,91,58,0.610738255033557,10
81-68,81,68,0.5436241610738255,10
86-63,86,63,0.5771812080536913,10
76-58,76,58,0.5671641791044776,10
86-63,86,63,0.5771812080536913,10
85-64,85,64,0.5704697986577181,10
49-38,49,38,0.5632183908045977,10
85-64,85,64,0.5704697986577181,10
64-58,64,58,0.5245901639344263,11
102-61,102,61,0.6257668711656442,11
90-73,90,73,0.5521472392638037,11
96-67,96,67,0.588957055214724,11
86-62,86,62,0.581081081081081,11
96-67,96,67,0.588957055214724,11
95-68,95,68,0.5828220858895705,11
49-38,49,38,0.5632183908045977,11
97-66,97,66,0.5950920245398773,11
64-58,64,58,0.5245901639344263,12
113-66,113,66,0.6312849162011173,12
101-78,101,78,0.5642458100558659,12
106-73,106,73,0.5921787709497207,12
86-62,86,62,0.581081081081081,12
105-74,105,74,0.5865921787709497,12
95-68,95,68,0.5828220858895705,12
49-38,49,38,0.5632183908045977,12
108-71,108,71,0.6033519553072626,12
