Correct,Wrong,Tie,Percent,week
7,8,1,0.4375,1
6,9,1,0.375,1
7,8,1,0.4375,1
9,6,1,0.5625,1
7,8,1,0.4375,1
9,6,1,0.5625,1
10,5,1,0.625,1
11,4,1,0.6875,1
17,14,1,0.53125,2
13,18,1,0.40625,2
18,13,1,0.5625,2
20,11,1,0.625,2
16,15,1,0.5,2
18,13,1,0.5625,2
19,12,1,0.59375,2
19,12,1,0.59375,2
24,23,1,0.5,3
19,28,1,0.3958333333333333,3
26,21,1,0.5416666666666666,3
28,19,1,0.5833333333333334,3
20,27,1,0.4166666666666667,3
24,23,1,0.5,3
28,19,1,0.5833333333333334,3
27,20,1,0.5625,3
33,30,1,0.515625,4
29,34,1,0.453125,4
31,32,1,0.484375,4
41,22,1,0.640625,4
32,31,1,0.5,4
33,30,1,0.515625,4
38,25,1,0.59375,4
38,25,1,0.59375,4
43,36,1,0.5375,5
39,40,1,0.4875,5
40,39,1,0.5,5
51,28,1,0.6375,5
42,37,1,0.525,5
45,34,1,0.5625,5
48,31,1,0.6,5
48,31,1,0.6,5
50,43,1,0.5319148936170213,6
46,47,1,0.48936170212765956,6
46,47,1,0.48936170212765956,6
56,37,1,0.5957446808510638,6
48,45,1,0.5106382978723404,6
52,41,1,0.5531914893617021,6
55,38,1,0.5851063829787234,6
58,35,1,0.6170212765957447,6
57,50,1,0.5277777777777778,7
55,51,1,0.514018691588785,7
53,54,1,0.49074074074074076,7
65,42,1,0.6018518518518519,7
57,50,1,0.5277777777777778,7
60,47,1,0.5555555555555556,7
65,42,1,0.6018518518518519,7
68,39,1,0.6296296296296297,7
